Names	total	elements
BLAST PLAST Plant	7	Potri.010G127200_08:7658822-7662750:Normal
		Potri.012G007100_15:260369-262782:Normal
		Potri.010G226900_08:1960604-1964165:Normal
		Potri.012G046400_15:3380771-3399353:Overlap
		Potri.004G117200_04:10850864-10860039:Normal
		Potri.001G135000_03:12494925-12497541:Normal
		Potri.019G116000_14:1990415-1998212:Normal
BLAST PLAST	4	Potri.001G115500_03:13999362-14017480:Normal
		Potri.005G106800_08:2812920-2822390:Normal
		Potri.008G221900_08:19344327-19378711:Overlap
		Potri.009G046000_01:26100777-26107368:AnchorPoint
BLAST Plant	2	Potri.018G055000_18:5771073-5789726:Normal
		Potri.005G021500_13:764507-767544:Normal
PLAST Plant	1	Potri.010G134200_08:7027506-7044177:Normal
BLAST	6	Potri.005G249000_05:25205430-25222695:Normal
		Potri.004G032600_04:2346975-2368202:Normal
		Potri.009G061400_01:27505169-27516421:Normal
		Potri.009G039000_09:4699012-4702838:AnchorPoint
		Potri.017G123600_05:25205430-25222695:Normal
		Potri.015G130800_12:14620912-14637130:Normal
PLAST	9	Potri.016G030700_12:13320392-13322172:Overlap
		Potri.010G195500_09:4699012-4702838:AnchorPoint
		Potri.012G134900_12:15142143-15154882:Normal
		Potri.004G088300_13:764507-767544:Normal
		Potri.012G135000_12:15142143-15154882:Normal
		Potri.001G197300_18:5771073-5789726:Normal
		Potri.006G231000_18:5771073-5789726:Normal
		Potri.004G209200_09:12895729-12902881:Normal
		Potri.001G116600_12:14620912-14637130:Normal
Plant	3	Potri.005G054700_13:2964071-2965548:Normal
		Potri.007G002300_08:2812920-2822390:Normal
		Potri.010G152700_08:6259387-6261695:Normal
