Potri.001G115500.1	03:13999362-14017480:Normal|17558-17719
Potri.001G135000.1	03:12494925-12497541:Normal|610-786
Potri.004G032600.1	04:2346975-2368202:Normal|16124-16732
Potri.004G117200.1	04:10850864-10860039:Normal|85-1155
Potri.005G021500.1	13:764507-767544:Normal|2025-2810
Potri.005G106800.1	08:2812920-2822390:Normal|1363-1560
Potri.005G249000.1	05:25205430-25222695:Normal|5354-6181
Potri.008G221900.3	08:19344327-19378711:Overlap|9881-10573
Potri.009G039000.2	09:4699012-4702838:AnchorPoint|1318-3117
Potri.009G046000.1	01:26100777-26107368:AnchorPoint|6126-6278
Potri.009G061400.1	01:27505169-27516421:Normal|10835-10942
Potri.010G127200.1	08:7658822-7662750:Normal|894-2151
Potri.010G226900.3	08:1960604-1964165:Normal|3302-3496
Potri.012G007100.1	15:260369-262782:Normal|238-483
Potri.012G046400.2	15:3380771-3399353:Overlap|7578-7706
Potri.015G130800.1	12:14620912-14637130:Normal|7687-9900
Potri.017G123600.1	05:25205430-25222695:Normal|11653-11766
Potri.018G055000.1	18:5771073-5789726:Normal|16078-16215
Potri.019G116000.1	14:1990415-1998212:Normal|2894-3384
