Potri.001G135000.2	03:12494925-12497541:Normal|4-786
Potri.004G117200.1	04:10850864-10860039:Normal|84-1484
Potri.005G021500.1	13:764507-767544:Normal|2024-2810
Potri.005G054700.1	13:2964071-2965548:Normal|125-278
Potri.007G002300.1	08:2812920-2822390:Normal|1368-1581
Potri.010G127200.1	08:7658822-7662750:Normal|893-2151
Potri.010G134200.3	08:7027506-7044177:Normal|2-101
Potri.010G152700.4	08:6259387-6261695:Normal|77-656
Potri.010G226900.2	08:1960604-1964165:Normal|3239-3496
Potri.012G007100.1	15:260369-262782:Normal|252-483
Potri.012G046400.2	15:3380771-3399353:Overlap|6730-8070
Potri.018G055000.1	18:5771073-5789726:Normal|16077-18141
Potri.019G116000.1	14:1990415-1998212:Normal|2893-3541
