Potri.001G115500.1	03:13999362-14017480:Normal|17558-17716
Potri.001G116600.1	12:14620912-14637130:Normal|7693-9903
Potri.001G135000.1	03:12494925-12497541:Normal|610-786
Potri.001G197300.1	18:5771073-5789726:Normal|16078-16215
Potri.004G088300.1	13:764507-767544:Normal|2688-2801
Potri.004G117200.1	04:10850864-10860039:Normal|85-613
Potri.004G209200.1	09:12895729-12902881:Normal|7011-7151
Potri.005G106800.1	08:2812920-2822390:Normal|1366-1560
Potri.006G231000.3	18:5771073-5789726:Normal|17720-17998
Potri.008G221900.3	08:19344327-19378711:Overlap|9878-10564
Potri.009G046000.1	01:26100777-26107368:AnchorPoint|6129-6281
Potri.010G127200.1	08:7658822-7662750:Normal|1298-2151
Potri.010G134200.4	08:7027506-7044177:Normal|3-95
Potri.010G195500.1	09:4699012-4702838:AnchorPoint|2203-3114
Potri.010G226900.3	08:1960604-1964165:Normal|3302-3496
Potri.012G007100.1	15:260369-262782:Normal|238-480
Potri.012G046400.2	15:3380771-3399353:Overlap|7569-7706
Potri.012G134900.5	12:15142143-15154882:Normal|2176-2367
Potri.012G135000.1	12:15142143-15154882:Normal|1203-1457
Potri.016G030700.1	12:13320392-13322172:Overlap|391-612
Potri.019G116000.1	14:1990415-1998212:Normal|3034-3384
